"RelativePath","Hash","Size","Modified"
"docs\MODULE_GUIDE.md","8d4e38c068025729d73015bdd66c82fc1a0c3b8e","3347","2026-02-08T16:16:16.3174042-06:00"
".vscode\virtualTab.json","77270eb8a6de76d0ed1aae18086a44591c9d327b","351","2026-02-08T22:08:18.2095677-06:00"
"verify_prompt_integration.py","7febaa07b25f77ed2b30c906b615cdc862586132","7273","2026-02-08T21:44:25.2989834-06:00"
"SHA256SUMS.txt","8fd85e35e1148f9959a769e9d887cba200946ebf","5825","2026-02-08T22:13:07.2973603-06:00"
"SHA256SUMS.json","351cfb76b54547ffb62fc0c6b51c3cae92240d7f","69048","2026-02-08T22:13:07.8588822-06:00"
"SHA256SUMS.csv","93ab3f810477f5b9782434c6989cf278ad057243","8628","2026-02-08T22:13:07.9611138-06:00"
"run_neural_router_smoke.py","6b4161e7aa54762bae3efe06d2a344ba2dfedb45","7557","2026-02-08T20:48:26.2070606-06:00"
"run_memory_injection_smoke.py","aa71fe82d1013201720e475f119a1b45e1f943af","8295","2026-02-08T20:43:18.7301526-06:00"
"run_integrated_system_smoke.py","5a1940b9717bd63c7ca695ff467191fab3b9ef81","8299","2026-02-08T20:43:56.3304126-06:00"
"requirements.txt","69d20b70afe713f28d408d603414c67fd04923d5","92","2026-02-08T20:32:40.9728242-06:00"
"README.md","e69b655967d6ef9b74536f1a0771f1ee0f5d18c0","11827","2026-02-08T21:02:24.2829119-06:00"
"neural_router.py","9d9eaff458d7013bf82b01aca97b48ea52e86184","43348","2026-02-08T21:19:23.5800613-06:00"
"memory_injection_system.py","d2f955d1d9db1e948dd7febf47a0f47cb3c317bc","30137","2026-02-08T20:26:42.1336651-06:00"
"LICENSE","edd0306190e43167e6019ac1427239a9d31f4158","82913","2026-01-08T22:19:24.5100770-06:00"
"integrated_system.py","a01b68a0acd1172bea4c9cb1e1637e91d713d61e","23905","2025-12-27T20:07:47.9319920-06:00"
"hash-index.ps1","5d79d11205204b3248da8b274d8c79a6f768ddb1","62786","2026-01-31T01:39:08.0051378-06:00"
"CITATION.cff","567d56324e142665a3fcab997816885a46d9fa47","1009","2026-02-08T22:11:06.0339105-06:00"
